year	cid	CODE	COUNTRY	Y	K	KBC30	LWDI	secondary	EGC	mlines	troads	cells	proads	rails
1999	2	ARG	Argentina	429548139847.46600	784123838291.54600	784733199614.10900	14872658.00000	0.62103	25186.00000	7356774.00000	38408.00000	4434000.00000	63348.47266	35753.00000
2000	2	ARG	Argentina	424922680341.65100	798621581098.56300	799194380741.77200	15180122.00000	0.63615	26349.00000	7894205.00000	38408.00000	6049963.00000	63456.00000	35753.00000
1960	3	AUS	Australia	111140905241.05100	122990383291.80700	262859677999.11300	4212750.00000	1.10880	6200.00000	1561969.00000	841372.80000	0.00000	80800.00000	42242.00000
1961	3	AUS	Australia	112019452061.98000	140786126287.55800	272263263312.42500	4298030.00000	1.12070	6950.00000	1599900.00000	840168.00000	0.00000	88900.00000	42007.00000
1962	3	AUS	Australia	119905613924.99100	161717653194.18800	285306161997.56400	4404220.00000	1.13460	7500.00000	1671901.00000	851545.60000	0.00000	106600.00000	41170.00000
1963	3	AUS	Australia	128606464385.17800	183669793259.48400	299842991534.65700	4599000.00000	1.15170	7800.00000	1797774.00000	856036.80000	0.00000	107100.00000	41033.00000
1964	3	AUS	Australia	138301043972.61500	210110647969.17900	319313454347.84100	4690140.00000	1.17040	8350.00000	1888074.00000	901704.00000	0.00000	113200.00000	40496.00000
1965	3	AUS	Australia	141855928734.82000	234884536845.74400	337535174841.68700	4782960.00000	1.19180	8900.00000	2010000.00000	906523.20000	0.00000	135700.00000	40287.00000
1966	3	AUS	Australia	150169996257.68600	260594484823.81100	357086084539.99700	4893420.00000	1.21460	9800.00000	2120001.00000	914382.40000	0.00000	156000.00000	40242.00000
1967	3	AUS	Australia	155983888576.78000	285102470779.03800	375804574512.25300	5073570.00000	1.24020	11450.00000	2235000.00000	897334.40000	0.00000	161744.00000	40329.00000
1968	3	AUS	Australia	170193286287.22100	315441962667.67100	400701940176.89300	5163870.00000	1.26770	11970.00000	2358999.00000	902163.20000	0.00000	167700.00000	40469.00000
1969	3	AUS	Australia	179514338172.85600	344285796015.26800	424430174873.93600	5273090.00000	1.29730	12700.00000	2511000.00000	897529.60000	0.00000	180303.00000	43380.00000
1970	3	AUS	Australia	187196452584.10900	372930529827.08000	448266245954.22900	5378010.00000	1.32820	14420.00000	2704000.00000	895913.60000	0.00000	185778.00000	42007.00000
1971	3	AUS	Australia	195124499071.46400	399393735984.23200	470209309143.75200	5692280.00000	1.35950	14900.00000	2857001.00000	879161.60000	0.00000	189466.00000	40269.00000
1972	3	AUS	Australia	201314606690.46000	423801923011.48300	490368561781.43100	5797880.00000	1.39300	16700.00000	2977999.00000	879014.40000	0.00000	206991.00000	40323.00000
1973	3	AUS	Australia	211654692261.77500	456220263914.41600	518792904358.16700	5887200.00000	1.42840	19318.00000	3146999.00000	858881.60000	0.00000	211680.00000	40474.00000
1974	3	AUS	Australia	209413567850.63100	476544625520.65800	535362907537.78500	6038120.00000	1.46470	21072.00000	3361000.00000	864000.00000	0.00000	217753.00000	40406.00000
1975	3	AUS	Australia	214873879382.37500	494651862495.97000	549941047592.06800	6251850.00000	1.50310	21509.00000	3538998.00000	844989.00000	0.00000	224000.00000	40604.00000
