year	cid	CODE	COUNTRY	Y	K	KBC30	LWDI	secondary	EGC	mlines	troads	cells	proads	rails
1975	17	COL	Colombia	98204235142.02290	101831666507.27700	113305966729.17300	8121920.00000	0.27980	3504.00000	893411.18750	54261.00000	0.00000	7488.00000	3431.00000
1976	17	COL	Colombia	103112382344.92900	107389837531.48000	118175679740.06200	8313440.00000	0.30650	3580.00000	919674.62500	56667.00000	0.00000	8897.00000	3403.00000
1977	17	COL	Colombia	107209362882.23700	114509911104.54600	124648602780.61300	8507680.00000	0.33320	3650.00000	1002311.06250	58521.00000	0.00000	8778.00000	3403.00000
1978	17	COL	Colombia	116383077024.32200	122140629867.80600	131671000043.31000	8976270.00000	0.35740	4600.00000	1082592.62500	63115.00000	0.00000	10162.00000	3403.00000
1979	17	COL	Colombia	122847245476.81600	129267605458.48600	138226153423.45900	9181050.00000	0.38250	4612.00000	1093379.87500	69789.00000	0.00000	10468.00000	3403.00000
1980	17	COL	Colombia	128358626880.59600	137539039116.11000	145960074203.18400	9387510.00000	0.40870	4960.00000	1152103.50000	74735.00000	0.00000	10314.00000	3403.00000
1981	17	COL	Colombia	131347303997.67400	147435358173.09800	155351131154.94900	9891580.00000	0.43770	5370.00000	1216039.25000	74735.00000	0.00000	10161.00000	3403.00000
1982	17	COL	Colombia	132851230141.93900	157705830830.01700	165146657432.95600	10406500.00000	0.47000	5372.00000	1382518.50000	105211.00000	0.00000	10011.00000	2710.00000
1983	17	COL	Colombia	134600798791.72900	166948990586.89000	173943367593.65200	10629800.00000	0.50400	5500.00000	1387913.62500	105863.00000	0.00000	9863.00000	3400.00000
1984	17	COL	Colombia	139247993422.78500	174535494432.33300	181110208818.69000	11164200.00000	0.53910	5648.00000	1606383.75000	104490.00000	0.00000	9718.00000	3255.00000
1985	17	COL	Colombia	143675812411.57500	179969281654.63600	186149513177.81100	11713800.00000	0.57590	5648.00000	1810894.75000	105248.00000	0.00000	9893.00000	3255.00000
1986	17	COL	Colombia	151209983246.73700	185769263970.79000	191578681602.57500	11954900.00000	0.61920	7195.00000	1909561.75000	106218.00000	0.00000	10197.00000	3257.00000
1987	17	COL	Colombia	158856108210.42500	192750680325.81200	198211532899.69000	12525900.00000	0.66230	8589.00000	2060233.75000	107342.00000	0.00000	10241.00000	3239.00000
1988	17	COL	Colombia	165500412789.52300	200765110814.55700	205898312234.00300	13112200.00000	0.70620	8589.00000	2232504.75000	106809.00000	0.00000	10285.00000	3239.00000
1989	17	COL	Colombia	171569667777.78700	206864143944.22400	211689353278.50300	13372500.00000	0.75410	8589.00000	2352260.50000	129117.00000	0.00000	10329.00000	2133.00000
1990	17	COL	Colombia	178680463164.92000	212384482166.55200	216920178940.77300	13988000.00000	0.80100	8849.00000	2614333.25000	107000.00000	0.00000	11489.00000	2133.00000
1991	17	COL	Colombia	182668294306.79800	216006795795.82700	220270350763.59600	14265000.00000	0.84390	9599.00000	2859469.00000	107377.00000	0.00000	12778.00000	2133.00000
1992	17	COL	Colombia	188990379929.25100	226446417980.31600	230454159650.01800	14909000.00000	0.88490	10218.00000	3072661.50000	107377.00000	0.00000	13342.63672	2133.00000
1993	17	COL	Colombia	195706207434.48200	243042124049.51800	246809401219.03800	15201500.00000	0.94189	10361.00000	3428005.00000	107000.00000	0.00000	13332.04590	2133.00000
1994	17	COL	Colombia	204291117037.94900	262475802256.73500	266017042796.08500	15500800.00000	1.00097	10781.00000	3846424.75000	107000.00000	86800.00000	13566.00000	1915.00000
1995	17	COL	Colombia	214683127339.71900	282806848178.25200	286135614285.24000	16194400.00000	1.06233	10758.00000	4252626.50000	104825.00000	275000.00000	12214.63574	1800.00000
1996	17	COL	Colombia	223864936548.09300	297581285842.19000	300710325982.75800	16499700.00000	1.12610	10794.00000	5122545.50000	107592.00000	523000.00000	12733.00000	3386.00000
1997	17	COL	Colombia	233153004583.61600	311264568444.17700	314205866176.31200	17218100.00000	1.19235	10826.00000	5973917.50000	109800.00000	1260000.00000	12706.08008	3154.00000
1998	17	COL	Colombia	236578349996.36100	322137384097.33400	324902203965.54100	17698442.00000	1.21874	11896.00000	6366944.00000	112885.00000	1800229.00000	16142.55566	3154.00000
1999	17	COL	Colombia	235843930859.88700	320932568172.04400	323531498848.15900	18172672.00000	1.24572	11595.00000	6665422.00000	112988.00000	1966535.00000	16270.27148	3380.00000
2000	17	COL	Colombia	241276000583.43300	322034484526.85600	324477479362.40400	18663564.00000	1.27329	12343.00000	7192778.00000	114992.00000	2256801.00000	16743.00000	3380.00000
1960	18	COG	Congo, Rep.	940191676.68582	2146233941.91854	6703427705.12294	444600.00000	1.00000	382.34744	3137.01196	10730.00000	0.00000	46.00000	515.00000
1961	18	COG	Congo, Rep.	1048655619.05249	2692886251.39993	6976648388.81207	454725.00000	0.95342	382.34744	3394.25806	10730.00000	0.00000	46.00000	515.00000
1962	18	COG	Congo, Rep.	1064556653.05835	2934814529.76839	6961550938.93580	465305.00000	0.90901	382.34744	3503.19238	10730.00000	0.00000	66.00000	515.00000
1963	18	COG	Congo, Rep.	1019448238.98732	3020625669.69521	6805757894.31258	476352.00000	0.86666	424.83049	3681.13135	10842.00000	0.00000	96.00000	515.00000
1964	18	COG	Congo, Rep.	1048170668.79274	3074972829.04475	6632997120.18507	477052.00000	0.82629	424.83049	3900.00000	10842.00000	0.00000	112.00000	515.00000
1965	18	COG	Congo, Rep.	1094212885.34400	3152374471.01499	6496917304.68690	488840.00000	0.83000	424.83049	3900.00000	10842.00000	0.00000	224.00000	515.00000
1966	18	COG	Congo, Rep.	1120500350.42099	3364227235.99877	6508097499.65036	501142.00000	0.79760	424.83049	4100.00000	10812.00000	0.00000	243.00000	515.00000
1967	18	COG	Congo, Rep.	1175958408.32167	3718754487.96583	6673992535.79833	513968.00000	0.76646	584.14193	4100.00000	8250.00000	0.00000	272.00000	517.00000
1968	18	COG	Congo, Rep.	1269780660.46574	4018176132.00985	6796099896.97240	527331.00000	0.73654	629.07592	4600.00000	8250.00000	0.00000	272.00000	517.00000
1969	18	COG	Congo, Rep.	1376915652.12705	4267051614.71010	6878299953.77489	528947.00000	0.70778	650.76819	4800.00000	8250.00000	0.00000	272.00000	517.00000
1970	18	COG	Congo, Rep.	1475181050.58078	4470919925.95498	6925493364.67588	543090.00000	0.71000	672.46047	4900.00000	8250.00000	0.00000	272.00000	517.00000
1971	18	COG	Congo, Rep.	1731250666.42859	4767271439.32999	7074570471.72764	557740.00000	0.69704	652.08288	5300.00000	8250.00000	0.00000	329.00000	517.00000
1972	18	COG	Congo, Rep.	1761093471.15325	5057106936.87540	7225968027.32919	572915.00000	0.68431	673.81897	5500.00000	8250.00000	0.00000	444.00000	517.00000
1973	18	COG	Congo, Rep.	1897375825.88146	5368711393.96363	7407440818.99019	588674.00000	0.67182	673.81897	5300.00000	8250.00000	0.00000	412.00000	517.00000
1974	18	COG	Congo, Rep.	1832121027.92921	5503121705.98632	7419527365.51128	605092.00000	0.65955	673.81897	5400.00000	8250.00000	0.00000	383.00000	517.00000
1975	18	COG	Congo, Rep.	2073506288.83192	5719856672.04103	7521277991.99450	622210.00000	0.66000	673.81897	5600.00000	8250.00000	0.00000	441.00000	517.00000
1976	18	COG	Congo, Rep.	2252235562.71602	5948468578.79788	7641804619.55414	640223.00000	0.66971	718.74024	6253.33789	8250.00000	0.00000	558.00000	517.00000
1977	18	COG	Congo, Rep.	2317038121.18646	6041510971.28771	7633246849.59860	643482.00000	0.67956	718.74024	6434.81982	8246.00000	0.00000	536.00000	517.00000
1978	18	COG	Congo, Rep.	2541096624.53169	6199958064.37503	7696189789.98726	662155.00000	0.68956	718.74024	6779.20801	8447.00000	0.00000	538.00000	517.00000
1979	18	COG	Congo, Rep.	2985888184.66744	6436754402.08023	7843212224.15572	681324.00000	0.69970	1543.17757	7624.33984	8400.00000	0.00000	538.00000	517.00000
1980	18	COG	Congo, Rep.	3480969734.18021	7041165670.93272	8363236023.68369	700980.00000	0.70000	1720.00000	8345.00000	8414.00000	0.00000	561.00000	519.00000
1981	18	COG	Congo, Rep.	4506142689.61826	8395142399.69114	9637888531.27705	721106.00000	0.76759	1720.00000	8756.29199	8461.00000	0.00000	835.00000	519.00000
1982	18	COG	Congo, Rep.	5221905980.99842	10425279300.34350	11593460664.03430	741665.00000	0.84171	1720.00000	8829.34961	8461.00000	0.00000	835.00000	519.00000
1983	18	COG	Congo, Rep.	5313218823.73729	11541089812.37370	12639180294.24300	762770.00000	0.92298	1720.00000	9443.82324	8461.00000	0.00000	850.00000	519.00000
1984	18	COG	Congo, Rep.	5640169311.74892	12397351536.27400	13429556589.23110	784594.00000	1.01210	1720.00000	9714.01563	8461.00000	0.00000	850.00000	518.50000
1985	18	COG	Congo, Rep.	5597346615.06043	13125061238.18770	14095333987.96750	807240.00000	1.03000	2170.00000	9994.39941	8700.00000	0.00000	870.00000	518.50000
1986	18	COG	Congo, Rep.	5145602610.30816	13286999959.99560	14199056344.78860	830689.00000	1.10718	2170.00000	10284.71582	8950.00000	0.00000	905.00000	609.50000
1987	18	COG	Congo, Rep.	5061389676.59299	13142924019.49020	14000257021.19560	854931.00000	1.19015	2545.00000	10788.41406	9100.00000	0.00000	940.00000	609.50000
1988	18	COG	Congo, Rep.	5154451341.27267	12911653138.99680	13717546160.59990	879971.00000	1.27934	2831.00000	14875.70703	9230.00000	0.00000	950.00000	609.50000
1989	18	COG	Congo, Rep.	5239925486.90348	12614529799.30290	13372069239.60980	905801.00000	1.37521	2831.00000	15528.02441	9400.00000	0.00000	985.00000	609.50000
1990	18	COG	Congo, Rep.	5951978396.95158	12591099990.76710	13303187064.65560	932400.00000	1.39000	2831.00000	15766.77441	9600.00000	0.00000	1010.00000	559.75000
1991	18	COG	Congo, Rep.	5465009408.68398	12532020354.25700	13201382203.71210	959666.00000	1.51813	2831.00000	16798.51367	12745.00000	0.00000	1030.00000	510.00000
1992	18	COG	Congo, Rep.	5941610733.31799	12519305546.96190	13148505685.44980	987605.00000	1.62029	2831.00000	17783.37695	12745.00000	0.00000	1030.00000	510.00000
1993	18	COG	Congo, Rep.	5079981295.44351	12125203435.60520	12716651565.78370	1016240.00000	1.71856	3134.00000	18993.39453	12745.00000	0.00000	1030.00000	600.00000
1994	18	COG	Congo, Rep.	4829044356.36433	11720610712.68270	12276571955.05060	1020670.00000	1.81140	3194.00000	20336.11523	12745.00000	0.00000	1030.00000	706.00000
1995	18	COG	Congo, Rep.	5462543365.41071	11335774999.54180	11858378567.36760	1050010.00000	1.94229	3194.00000	20651.98047	12760.00000	0.00000	1090.00000	609.00000
1996	18	COG	Congo, Rep.	5671362559.29722	10998399187.88130	11489646541.63760	1079830.00000	2.08264	2574.00000	21717.33203	12800.00000	1000.00000	1242.00000	657.50000
1997	18	COG	Congo, Rep.	5915136222.84138	10676746333.04450	11138518845.57540	1110120.00000	2.19040	2574.00000	21700.25586	12800.00000	2195.00000	1242.00000	706.00000
1998	18	COG	Congo, Rep.	6884882952.05009	10621293248.26770	11055359410.04670	1142902.62500	2.24003	2548.00000	22000.00000	12800.00000	3390.00000	1241.59998	800.50000
1999	18	COG	Congo, Rep.	4169076311.34610	10349378307.51950	10757400499.59180	1175897.62500	2.29079	2548.00000	22000.00000	12800.00000	5000.00000	1241.59998	895.00000
2000	18	COG	Congo, Rep.	3613520548.30089	10070708662.40970	10454249522.95760	1209076.50000	2.34270	2473.00000	22000.00000	13593.00000	70000.00000	1241.59998	900.00000
1960	19	CRI	Costa Rica	5632358477.41009	4486971070.07484	2801395537.19136	363010.00000	0.16700	109.00000	6400.00000	16370.00000	0.00000	1008.00000	665.00000
1961	19	CRI	Costa Rica	5518970760.79581	4581354665.58761	2996913664.67714	378386.00000	0.17380	110.00000	7800.00000	16795.00000	0.00000	1046.00000	564.00000
1962	19	CRI	Costa Rica	5894957969.29379	4709390214.27380	3220015673.41796	393911.00000	0.18330	110.00000	9600.00000	16920.00000	0.00000	1072.00000	596.00000
1963	19	CRI	Costa Rica	6284130396.93110	4837492030.58923	3437479962.18474	409811.00000	0.19680	140.00000	11000.00000	16980.00000	0.00000	1098.00000	596.00000
1964	19	CRI	Costa Rica	6641472924.63268	4909905534.42888	3593894190.12866	426517.00000	0.21680	151.00000	13500.00000	17350.00000	0.00000	1125.00000	596.00000
1965	19	CRI	Costa Rica	7319524504.73996	5099586236.76393	3862535573.12172	444230.00000	0.23700	161.00000	16000.00000	17664.00000	0.00000	1153.00000	596.00000
1966	19	CRI	Costa Rica	7728551207.51860	5305005498.88531	4142177875.06164	462855.00000	0.25580	196.00000	19000.00000	17775.00000	0.00000	1181.00000	596.00000
1967	19	CRI	Costa Rica	8131992449.12660	5532967407.75626	4439909441.36201	482524.00000	0.27390	236.00000	28000.00000	18050.00000	0.00000	1210.00000	596.00000
1968	19	CRI	Costa Rica	8705233139.49545	5739503201.54455	4712028713.13395	502426.00000	0.28530	237.00000	32000.00000	18321.00000	0.00000	1289.00000	596.00000
1969	19	CRI	Costa Rica	9087667727.31446	6015005053.48487	5049179034.37891	521318.00000	0.30990	237.00000	36000.00000	18800.00000	0.00000	1333.00000	617.00000
1970	19	CRI	Costa Rica	9810951021.73323	6359209200.36331	5451332742.40370	538470.00000	0.33710	244.00000	40000.00000	20575.00000	0.00000	1455.00000	622.00000
1971	19	CRI	Costa Rica	10228275793.28730	6848888453.36283	5995484582.88080	554020.00000	0.36120	250.00000	44000.00000	21097.00000	0.00000	1525.00000	622.00000
1972	19	CRI	Costa Rica	10964312958.46940	7247982136.20528	6445782497.95217	567808.00000	0.38830	320.00000	51000.00000	22012.00000	0.00000	1636.00000	622.00000
1973	19	CRI	Costa Rica	11592438363.77080	7774893157.65486	7020825497.69693	599533.00000	0.40390	362.00000	57000.00000	23091.00000	0.00000	1648.00000	623.00000
1974	19	CRI	Costa Rica	12212836004.90250	8352628656.35891	7643805055.99846	613734.00000	0.42390	407.00000	66000.00000	23091.00000	0.00000	1692.00000	623.00000
1975	19	CRI	Costa Rica	12631438752.03850	8802643724.82419	8136349540.48537	649440.00000	0.45030	404.00000	81000.00000	24724.00000	0.00000	1939.00000	648.00000
1976	19	CRI	Costa Rica	13168334959.45720	9477971616.22363	8851655082.94514	667656.00000	0.48280	406.00000	90495.14844	25440.00000	0.00000	1976.00000	660.00000
1977	19	CRI	Costa Rica	14431838634.51910	10386327884.74550	9797590343.46375	687611.00000	0.51780	440.00000	105943.39844	26108.00000	0.00000	2013.00000	660.00000
1978	19	CRI	Costa Rica	15425246215.13150	11233937387.87330	10680524099.06850	730480.00000	0.54840	508.00000	122985.71875	26954.00000	0.00000	2051.00000	720.00000
1979	19	CRI	Costa Rica	16081716794.64190	12166839807.19830	11646631315.72170	753331.00000	0.57540	570.00000	133439.92188	27494.00000	0.00000	2398.00000	720.00000
1980	19	CRI	Costa Rica	16071257719.37960	13156185088.45420	12667189106.46620	799400.00000	0.59930	637.00000	157367.59375	28525.00000	0.00000	2412.00000	760.00000
1981	19	CRI	Costa Rica	15577157588.27900	13437898245.23200	12978242022.16330	823823.00000	0.62830	632.00000	170546.09375	28600.00000	0.00000	2520.00000	760.00000
1982	19	CRI	Costa Rica	14524665234.36370	13429785100.92210	12997708251.23760	848785.00000	0.65970	817.00000	188377.14063	28932.00000	0.00000	2806.00000	760.00000
1983	19	CRI	Costa Rica	14844251029.60390	13686338711.95310	13280186473.24960	899057.00000	0.69100	819.00000	194600.20313	29586.00000	0.00000	2438.00000	760.00000
1984	19	CRI	Costa Rica	15875368047.67660	14043663346.99360	13661880242.61230	925150.00000	0.72050	819.00000	202122.79688	29093.00000	0.00000	2834.00000	760.00000
1985	19	CRI	Costa Rica	16166082259.77480	14470731187.47190	14111855069.35350	951120.00000	0.74770	825.00000	209774.79688	32680.00000	0.00000	3294.00000	700.00000
1986	19	CRI	Costa Rica	16782626277.17080	15266883560.21710	14929540009.18580	1004070.00000	0.77690	813.00000	215012.71875	35343.00000	0.00000	3830.00000	700.00000
1987	19	CRI	Costa Rica	17309623764.16950	16072099833.08230	15754996895.11290	1030390.00000	0.80540	910.00000	241071.76563	35350.00000	0.00000	4452.00000	696.00000
1988	19	CRI	Costa Rica	17899878687.54740	16707842577.47240	16409765815.78110	1056460.00000	0.83350	912.00000	259704.90625	35357.00000	0.00000	5176.00000	556.00000
1989	19	CRI	Costa Rica	18669513545.35210	17424727692.51180	17144535536.52200	1111500.00000	0.86320	915.00000	276318.93750	35534.00000	0.00000	5199.00000	556.00000
1990	19	CRI	Costa Rica	19219479473.93710	18223507486.31900	17960126859.68860	1137720.00000	0.89300	893.00000	306460.43750	35556.00000	0.00000	5454.00000	556.00000
1991	19	CRI	Costa Rica	19473911391.65760	18728292154.73850	18480714365.70590	1164320.00000	0.91920	1011.00000	328019.84375	35536.00000	0.00000	5600.00000	829.00000
1992	19	CRI	Costa Rica	20926804535.88350	19647791908.60370	19415068786.91300	1190160.00000	0.94340	1042.00000	344217.75000	35560.00000	3010.00000	5608.00000	829.00000
1993	19	CRI	Costa Rica	22404789153.49830	20787169028.69700	20568409294.30780	1247610.00000	0.97712	1044.00000	375501.34375	35541.00000	4530.00000	5795.00000	829.00000
1994	19	CRI	Costa Rica	23546834655.34970	21893901977.28250	21688267826.95660	1273740.00000	1.01068	1105.00000	434470.96875	35583.00000	6990.00000	5800.00000	829.00000
1995	19	CRI	Costa Rica	24583510331.58330	22806528578.32420	22613232477.01790	1299870.00000	1.04447	1165.00000	485267.34375	35600.00000	18800.00000	5945.00000	829.00000
1996	19	CRI	Costa Rica	25049060430.50100	23432730626.54280	23251032291.31490	1325220.00000	1.07879	1165.00000	529085.50000	35597.00000	46500.00000	6051.49023	950.00000
1997	19	CRI	Costa Rica	26073596414.11330	24518187503.78040	24347391068.66620	1350960.00000	1.11372	1165.00000	684636.00000	35597.00000	64400.00000	6051.49023	950.00000
1998	19	CRI	Costa Rica	27693975391.91970	26172506854.87820	26011958205.87080	1387362.37500	1.13047	1474.00000	742415.00000	37273.00000	108770.00000	7827.33008	950.00000
1999	19	CRI	Costa Rica	30360049657.66320	27237517962.10800	27086602232.04100	1425131.25000	1.14747	1550.00000	802597.00000	35876.00000	138178.00000	7892.72021	950.00000
2000	19	CRI	Costa Rica	30951507594.72390	28200582912.68150	28058722126.41860	1463946.62500	1.16473	1630.00000	898734.00000	35892.00000	205275.00000	7896.24023	950.00000
1960	20	CIV	Cote d'Ivoire	4770501962.52426	3757887584.34728	5118520126.63129	1662760.00000	0.00510	32.00000	3690.00000	27660.00000	0.00000	650.00000	1173.00000
1961	20	CIV	Cote d'Ivoire	5025404851.25522	4056204657.78209	5335199247.52906	1721010.00000	0.00650	32.00000	4370.00000	29396.00000	0.00000	705.00000	1173.00000
1962	20	CIV	Cote d'Ivoire	5331737651.74484	4184062416.95771	5386317331.31987	1782840.00000	0.00820	34.00000	5176.00000	31464.00000	0.00000	765.00000	1173.00000
1963	20	CIV	Cote d'Ivoire	6052122457.65198	4478845486.74801	5608965106.24844	1806450.00000	0.01020	50.00000	6131.00000	33187.00000	0.00000	830.00000	1173.00000
1964	20	CIV	Cote d'Ivoire	6928632012.76091	4996647807.45246	6058960249.78286	1874490.00000	0.01240	52.00000	7261.00000	33187.00000	0.00000	830.00000	1173.00000
1965	20	CIV	Cote d'Ivoire	6697181195.55305	5459650388.27082	6458224084.06139	1946610.00000	0.01530	96.00000	8600.00000	33136.00000	0.00000	1060.00000	1173.00000
1966	20	CIV	Cote d'Ivoire	7557929287.57524	5966067616.17152	6904726890.21466	2022920.00000	0.01790	96.00000	10200.00000	32494.00000	0.00000	1105.00000	1173.00000
1967	20	CIV	Cote d'Ivoire	7976650579.57011	6396331723.44225	7278671441.04281	2103510.00000	0.02090	99.00000	11800.00000	35684.00000	0.00000	1285.00000	1173.00000
1968	20	CIV	Cote d'Ivoire	9091396947.31575	6821121356.25716	7650520690.80168	2137540.00000	0.02490	137.00000	13400.00000	34623.00000	0.00000	1316.00000	1173.00000
1969	20	CIV	Cote d'Ivoire	9839359991.94264	7383154586.94647	8162789961.41832	2224770.00000	0.02970	142.00000	14800.00000	34954.00000	0.00000	1433.00000	1173.00000
1970	20	CIV	Cote d'Ivoire	10670816155.66750	8116574657.93027	8849431909.93381	2316300.00000	0.03610	175.00000	17000.00000	34961.00000	0.00000	1398.00000	1173.00000
1971	20	CIV	Cote d'Ivoire	11807161580.44490	8912259026.26398	9601144843.14731	2412420.00000	0.04280	179.00000	18900.00000	35654.00000	0.00000	1426.00000	1173.00000
1972	20	CIV	Cote d'Ivoire	12355154220.22560	9641319658.87179	10288872326.74210	2513100.00000	0.05040	299.00000	20400.00000	36066.00000	0.00000	1443.00000	1173.00000
1973	20	CIV	Cote d'Ivoire	12639765340.51440	10546946364.26160	11155645872.05970	2555550.00000	0.05910	357.00000	22500.00000	36066.00000	0.00000	1443.00000	1147.00000
1974	20	CIV	Cote d'Ivoire	12691148397.75280	11403514633.87270	11975692171.20290	2661130.00000	0.06900	350.00000	24300.00000	41362.00000	0.00000	1443.00000	1171.00000
1975	20	CIV	Cote d'Ivoire	14415459978.27570	12356612509.80050	12894459394.89090	2769550.00000	0.07890	360.00000	24022.00000	45170.00000	0.00000	1989.00000	1171.00000
1976	20	CIV	Cote d'Ivoire	15741760288.09330	13511299234.80340	14016875306.78840	2879130.00000	0.08850	512.00000	26206.00000	45214.00000	0.00000	1989.00000	1171.00000
1977	20	CIV	Cote d'Ivoire	16269876434.64620	15119492880.44000	15594734388.10590	2992700.00000	0.09920	502.00000	27696.00000	45214.00000	0.00000	1989.00000	1171.00000
1978	20	CIV	Cote d'Ivoire	18225302459.46250	17131197502.73600	17577924519.94200	3034680.00000	0.11060	502.00000	30521.00000	45214.00000	0.00000	1989.00000	1171.00000
1979	20	CIV	Cote d'Ivoire	19146379095.90880	18913313601.51670	19333236997.69030	3153970.00000	0.12370	788.00000	32656.00000	41317.00000	0.00000	2261.00000	1171.00000
1980	20	CIV	Cote d'Ivoire	17296995308.59520	20154770230.51910	20549498222.92230	3277600.00000	0.13870	953.00000	37465.00000	41317.00000	0.00000	3077.00000	1180.00000
1981	20	CIV	Cote d'Ivoire	17899066290.62340	21341850582.77960	21712894895.63850	3405720.00000	0.15550	1028.00000	42590.00000	41317.00000	0.00000	3264.00000	1182.00000
1982	20	CIV	Cote d'Ivoire	20722675446.92900	22099124379.07510	22447906033.16260	3538630.00000	0.17460	1163.00000	46886.82031	46452.00000	0.00000	3680.00000	1182.00000
1983	20	CIV	Cote d'Ivoire	20245539039.62200	22289215085.56700	22617069840.40920	3583180.00000	0.19450	1163.00000	50532.07422	46542.00000	0.00000	3762.00000	1182.00000
1984	20	CIV	Cote d'Ivoire	20643504535.75710	21565640023.82690	21873823493.37860	3717680.00000	0.21320	1163.00000	51475.60938	46543.00000	0.00000	3800.00000	1182.00000
1985	20	CIV	Cote d'Ivoire	21915764213.63160	21382448309.12620	21672140770.50480	3852420.00000	0.22980	1163.00000	56304.59766	46960.00000	0.00000	3873.00000	1182.00000
1986	20	CIV	Cote d'Ivoire	23907666029.93480	21455192840.16830	21727503753.86410	3988240.00000	0.24500	1163.00000	60334.87109	47574.00000	0.00000	3945.00000	1167.00000
1987	20	CIV	Cote d'Ivoire	24351772924.78320	21243939219.09430	21499911477.96840	4019150.00000	0.26200	1163.00000	64517.87109	48000.00000	0.00000	4080.00000	1167.00000
1988	20	CIV	Cote d'Ivoire	24923899937.71510	20942710550.37970	21183324473.72130	4152910.00000	0.28080	1163.00000	66665.19531	48270.00000	0.00000	4140.00000	1161.00000
1989	20	CIV	Cote d'Ivoire	29113262394.84240	19969321061.91810	20195498149.85930	4287050.00000	0.30000	1173.00000	67690.26563	49030.00000	0.00000	4220.00000	1155.00000
1990	20	CIV	Cote d'Ivoire	27922155531.90430	19195921515.04600	19408527977.71070	4421300.00000	0.32090	1173.00000	72313.34375	49410.00000	0.00000	4300.00000	709.00000
1991	20	CIV	Cote d'Ivoire	27405983707.97430	19127303502.09270	19327153576.99750	4558710.00000	0.34520	1173.00000	80074.20313	49550.00000	0.00000	4400.00000	650.00000
1992	20	CIV	Cote d'Ivoire	27808638722.24920	18694677481.98680	18882536552.39730	4699320.00000	0.37040	1173.00000	81867.17969	49800.00000	0.00000	4500.00000	651.00000
1993	20	CIV	Cote d'Ivoire	27417711755.75320	18815419004.83320	18992006531.01900	4970600.00000	0.39717	1173.00000	87190.10156	49900.00000	0.00000	4600.00000	651.00000
1994	20	CIV	Cote d'Ivoire	26737827390.41380	19378453403.30160	19544445677.91630	5121570.00000	0.42489	1173.00000	101710.76563	50100.00000	0.00000	4705.00000	651.00000
1995	20	CIV	Cote d'Ivoire	28353009686.80270	20187339218.11540	20343371956.25320	5275920.00000	0.45409	1173.00000	116129.07813	50200.00000	0.00000	4815.00000	639.00000
1996	20	CIV	Cote d'Ivoire	29954088983.15550	20395504252.14450	20542175025.99410	5555510.00000	0.48526	1173.00000	132122.18750	50400.00000	13500.00000	4890.00000	660.00000
1997	20	CIV	Cote d'Ivoire	30922769308.97050	20929574831.54780	21067445358.96640	5684460.00000	0.51863	1173.00000	146516.71875	50400.00000	36000.00000	4995.00000	639.00000
1998	20	CIV	Cote d'Ivoire	32244713918.35580	21802565074.89160	21932163370.66510	5868515.00000	0.55385	1173.00000	170001.00000	50400.00000	91212.00000	4888.79980	660.00000
1999	20	CIV	Cote d'Ivoire	33649500818.02270	21800915424.77740	21922737822.80440	6052138.50000	0.59146	1173.00000	219283.00000	50400.00000	257134.00000	4888.79980	660.00000
2000	20	CIV	Cote d'Ivoire	34454670641.57320	20837740611.71630	20952253665.86180	6238058.50000	0.63163	892.00000	263667.00000	50400.00000	472952.00000	4888.79980	639.00000
1960	21	DNK	Denmark	52398527175.33490	66787430692.43070	97922741108.71560	2107260.00000	0.80410	1953.00000	833987.00000	59400.00000	0.00000	46383.00000	3220.79330
1961	21	DNK	Denmark	55804665660.30920	75055116011.84980	104322307803.15800	2120600.00000	0.82210	2150.00000	880584.00000	59700.00000	0.00000	47496.00000	3161.57608
1962	21	DNK	Denmark	59204690627.91430	84201917874.06960	111713078157.89900	2137620.00000	0.84050	2272.00000	924722.00000	59900.00000	0.00000	49286.00000	3157.76925
1963	21	DNK	Denmark	59205411854.73400	91394676783.45520	117255167450.25500	2154640.00000	0.86040	2373.00000	959682.00000	60100.00000	0.00000	50209.00000	3018.12554
1964	21	DNK	Denmark	65156439706.99230	101641121581.92000	125949982808.71200	2218400.00000	0.88490	2370.00000	1001563.00000	60761.00000	0.00000	51149.00000	2984.75870
1965	21	DNK	Denmark	68127111944.40110	112572790056.56600	135423119609.75100	2236260.00000	0.91320	2775.00000	1030865.00000	61302.00000	0.00000	52107.00000	2930.37671
1966	21	DNK	Denmark	70006769383.56270	122718557386.32500	144197867166.31800	2255060.00000	0.94780	2905.00000	1057000.00000	61630.00000	0.00000	53002.00000	2930.37671
1967	21	DNK	Denmark	72469954264.19040	132645581785.52400	152836132978.71800	2274330.00000	0.98550	3255.00000	1094000.00000	61630.00000	0.00000	54116.00000	2619.51879
1968	21	DNK	Denmark	74997609925.13060	142756990939.22500	161736109060.82700	2336160.00000	1.02480	3920.00000	1124000.00000	61648.00000	0.00000	55253.00000	2647.59439
1969	21	DNK	Denmark	79925658381.00640	154861736271.88100	172702107306.18700	2347680.00000	1.06110	4135.00000	1182000.00000	61690.00000	0.00000	56414.00000	2452.49589
1970	21	DNK	Denmark	81739156330.26650	166370197920.98600	183140146693.23400	2365920.00000	1.09610	4775.00000	1249003.00000	62375.00000	0.00000	57600.00000	2236.65728
1971	21	DNK	Denmark	83685223252.48470	177273914318.70100	193037666164.61300	2431870.00000	1.13420	5057.00000	1316000.00000	63925.00000	0.00000	58811.00000	2236.65728
